data;ricoverati;terapia_intensiva;ospedalizzati;isolamento_domiciliare;totale_positivi;variazione_totale_positivi;nuovi_positivi;guariti;deceduti;totale_casi;tamponi;casi_testati;diff_ricoverati;diff_terapia_intensiva;diff_ospedalizzati;diff_isolamento_domiciliare;diff_totale_positivi;diff_variazione_totale_positivi;diff_nuovi_positivi;diff_guariti;diff_deceduti;diff_totale_casi;diff_tamponi;diff_casi_testati
"2020-10-14";"5470";"539";"6009";"86436";"92445";"5252";"7332";"244065";"36289";"372799";"12914895";"7809920";"394";"25";"419";"4833";"5252";"823";"1431";"2037";"43";"7332";"152196";"87601"
"2020-10-15";"5796";"586";"6382";"92884";"99266";"6821";"8804";"245964";"36372";"381602";"13077827";"7908462";"326";"47";"373";"6448";"6821";"1569";"1472";"1899";"83";"8803";"162932";"98542"
"2020-10-16";"6178";"638";"6816";"100496";"107312";"8046";"10010";"247872";"36427";"391611";"13228204";"8000864";"382";"52";"434";"7612";"8046";"1225";"1206";"1908";"55";"10009";"150377";"92402"
"2020-10-17";"6617";"705";"7322";"109613";"116935";"9623";"10925";"249127";"36474";"402536";"13394041";"8104190";"439";"67";"506";"9117";"9623";"1577";"915";"1255";"47";"10925";"165837";"103326"
"2020-10-18";"7131";"750";"7881";"118356";"126237";"9302";"11705";"251461";"36543";"414241";"13540582";"8199744";"514";"45";"559";"8743";"9302";"-321";"780";"2334";"69";"11705";"146541";"95554"
"2020-10-19";"7676";"797";"8473";"125530";"134003";"7766";"9338";"252959";"36616";"423578";"13639444";"8265568";"545";"47";"592";"7174";"7766";"-1536";"-2367";"1498";"73";"9337";"98862";"65824"
"2020-10-20";"8454";"870";"9324";"133415";"142739";"8736";"10874";"255005";"36705";"434449";"13784181";"8353248";"778";"73";"851";"7885";"8736";"970";"1536";"2046";"89";"10871";"144737";"87680"
"2020-10-21";"9057";"926";"9983";"145459";"155442";"12703";"15199";"257374";"36832";"449648";"13962029";"8459736";"603";"56";"659";"12044";"12703";"3967";"4325";"2369";"127";"15199";"177848";"106488"
"2020-10-22";"9694";"992";"10686";"158616";"169302";"13860";"16079";"259456";"36968";"465726";"14132421";"8564608";"637";"66";"703";"13157";"13860";"1157";"880";"2082";"136";"16078";"170392";"104872"
"2020-10-23";"10549";"1049";"11598";"174404";"186002";"16700";"19143";"261808";"37059";"484869";"14314453";"8679107";"855";"57";"912";"15788";"16700";"2840";"3064";"2352";"91";"19143";"182032";"114499"
